// Adapted from:
// http://wiki.uqm.stack.nl/List_of_planets
// and
// http://wiki.uqm.stack.nl/script/images/9/9c/PlanetDatabase.zip
//
// Data compiled by Scott A. Colcord (Elestan on http://forum.uqm.stack.nl)
// and published 2011/06/29.
//
// The order of starsystems in this document
// appears to match that in plandata.c.
//
// 0, 	1,   2,3,4,      5,        6,       7,    8,     9,   10,    11,       12,     13,     14,       15,      16,      17,       18,  19,       20,     21,    22,     23,  24, 25,        26,        27
Cluster,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
,,,,,,,,IV-a,Metal,3,,3,,,,1068,265,0.8,20,157,25,39,,199,94,560,
,,,,,,,,V,Ruby,1,1,1,,,,3650,146,1.2,-34,59,102,60,-113,251,0,-740,4940
,,,,,,,,VI,Alkali,5,3,,,5,51,174,58,0.7,2,100,34,34,-124,220,13,360,5702
,,,,,,,,VII,Sapphire,3,,,,1,0,2025,81,0.9,-14,60,77,46,-129,246,0,-740,6132
,,,,,,,,VII-a,Yttric,2,2,,,,,829,195,0.8,-25,150,28,42,,169,15,460,
,,,,,,,,VII-b,,4,4,,,,,214,58,1.0,-3,146,35,51,,266,,,
,,,,,,,,VIII,Fluorescent,,,,,,,1189,181,2.9,-8,157,92,144,-137,150,0,-740,6795
,,,,,,,,VIII-a,Lanthanide,5,5,,,,,775,155,1.1,25,153,36,55,,,,,
,,,,,,,,VIII-b,Urea,7,6,2,,7,84,62,62,0.4,-13,63,35,22,,161,95,560,
,,,,,,,,IX,Gas Giant,8,2,8,,1,0,0,0,1.3,-19,21,317,66,-144,121,65535,-1,7553
,,,,,,,,IX-a,Metal,4,4,2,,,7,436,107,1.0,23,143,35,50,,214,87,560,
,,,,,,,,IX-b,,,,,,,0,554,187,0.9,-19,153,30,45,,231,88,,
Bellatrix,Prime,545.8,,373.5,yellow,,,I,Radioactive,1,1,1,,,,1560,195,1.3,43,209,31,64,-151,51051,0,-740,2146
,,,,,,,,II,Halide,,,,,,,374,85,0.4,40,60,33,19,-163,153,,-940,2633
,,,,,,,,III,Purple,3,3,,,,,213,71,,-28,58,32,18,-204,270,,,6556
,,,,,,,,IV,Gas Giant,8,,8,,,,0,0,1.5,15,20,365,73,-206,153,65535,-1,7095
,,,,,,,,IV-a,Pellucid,3,,1,,,,,,0.3,6,62,29,17,,291,0,-940,
,,,,,,,,IV-b,Dust,,,,,,,84,28,,-4,59,26,15,,163,10,160,
Volantis,Gamma,104.8,191.9,084.5,green,,Ilwrath,I,Emerald,2,2,,,,,2275,91,1.0,-1,63,80,50,-64,41075,0,-740,1309
,,,,,,,,II,Noble,3,3,,,,,202,67,0.2,-14,32,30,9,-135,277,,,2965
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,3.0,-21,20,977,195,-160,105,65535,-1,4384
,,,,,,,,III-a,Treasure,2,,1,,,,972,162,1.3,9,205,31,63,,263,0,-940,
,,,,,,,,III-b,Noble,3,3,,,,,328,82,0.2,15,32,36,11,,182,,,
,,,,,,,,IV,Alkali,2,2,2,,,,84,28,0.5,5,98,28,27,-167,171,10,160,4963
,,,,,,,,V,Radioactive,3,3,1,,,,1416,177,1.3,-10,197,34,66,-181,198,0,-940,6598
Mira,Beta,367.8,192.6,198.3,blue,,VUX,I,Gas Giant,8,,8,,,,0,0,1.5,-17,21,370,77,-111,151,65535,-1,3381
,,,,,,,,I-a,Opalescent,4,4,1,,,,96,51,0.4,32,63,32,20,,242,0,-740,
,,,,,,,,I-b,Lanthanide,7,7,,,,,900,180,0.9,5,154,30,46,,250,,,
,,,,,,,,I-c,Quasi-Degenerate,4,4,,,,,950,38,0.8,-34,156,27,42,,238,,,
,,,,,,,,I-d,Green,5,5,3,,,90,285,57,0.7,22,104,35,36,,212,109,410,
,,,,,,,,II,Primordial,8,8,,,,0,110,80,1.7,20,98,88,86,-129,187,101,,4260
Vela,Prime,334.5,193.1,166.4,yellow,,None,I,Water,5,1,1,,5,39,159,43,,-28,104,84,87,28,212,49,960,588
,,,,,,,,II,Noble,3,3,,,1,0,201,63,0.2,-10,32,31,9,-116,181,0,-740,1281
,,,,,,,,III,Redux,,,,,,,285,135,1.9,,96,101,96,-165,283,,-940,2690
,,,,,,,,IV,Gas Giant,8,1,8,,,,0,0,2.0,6,20,492,98,-188,142,65535,-1,4362
,,,,,,,,V,Halide,3,3,1,,,,248,64,0.3,-4,59,26,15,-203,289,0,-940,6393
,,,,,,,,VI,Vinylogous,2,2,,,,,89,33,2.1,-6,97,109,105,-208,285,,,7332
Aurigae,Delta,818.7,193.7,645.3,white,,,I,Gas Giant,8,,8,4,,,0,0,3.0,10,20,940,188,213,110,65535,-1,944
,,,,,,,,I-a,Lanthanide,7,7,4,3,,50,1125,225,1.0,-9,143,35,50,121,290,85,710,
,,,,,,,,I-b,Metal,8,3,8,4,2,66,1288,288,0.9,3,155,29,44,178,248,2910,160,
,,,,,,,,I-c,Yttric,6,4,6,3,1,0,756,208,0.8,-19,152,25,38,138,276,284,560,
,,,,,,,,I-d,Quasi-Degenerate,,6,1,2,,,350,14,1.0,-11,147,34,49,96,243,0,-590,
,,,,,,,,II,Ruby,2,1,2,1,2,90,375,15,1.1,-5,58,99,57,1,188,14,760,2043
,,,,,,,,II-a,Radioactive,,,,,1,7,1488,186,1.3,-11,200,32,64,6,170,10,,
,,,,,,,,III,Gas Giant,8,,8,,,0,0,0,3.0,-5,21,1063,223,-75,120,65535,-1,3227
,,,,,,,,III-a,Urea,,8,3,,5,40,57,57,0.4,-28,60,31,18,,51470,83,560,
,,,,,,,,III-b,Opalescent,3,3,1,,1,0,45,23,,-19,61,,,,295,0,-740,
,,,,,,,,IV,Redux,5,5,,,,,235,104,2.3,4,105,109,114,-95,220,,,4010
,,,,,,,,IV-a,Lanthanide,,,,,,,1080,216,1.1,1,155,36,55,,270,,,
,,,,,,,,V,Yttric,4,4,2,,,,776,174,0.8,18,154,25,38,-112,212,14,360,4876
,,,,,,,,VI,Gas Giant,8,1,8,,,,0,0,3.0,-3,21,996,209,-123,138,65535,-1,5628
,,,,,,,,VI-a,Alkali,3,3,2,,,,168,56,0.6,0,101,29,29,,267,10,360,
,,,,,,,,VII,Ruby,,,1,,,,1625,65,1.2,-2,63,95,59,-141,210,0,-740,7268
,,,,,,,,VII-a,Oolite,6,4,2,,6,3,942,170,1.1,-35,155,35,54,,206,98,560,
,,,,,,,,VII-b,Lanthanide,5,5,1,,1,0,695,139,0.7,-18,149,25,37,,253,0,-740,
Zeeman,Prime,335.2,194.0,167.3,,super giant,,I,Gas Giant,10,3,8,8,,,0,0,3.0,-24,21,1276,267,5179,85,65535,-1,2586
,,,,,,,,I-a,Urea,9,6,7,,,,87,87,0.3,-5,61,29,17,4995,242,3352,-540,
,,,,,,,,I-b,Selenic,8,3,3,,,,456,152,,-18,58,30,,4429,245,92,-140,
,,,,,,,,II,Quasi-Degenerate,,4,1,,,,600,24,0.9,1,145,31,44,3533,199,0,-1440,3518
,,,,,,,,III,Acid,,3,3,,,,232,232,0.7,15,104,34,35,3276,185,100,-290,4744
,,,,,,,,IV,Gas Giant,10,2,8,,,,0,0,3.0,8,21,886,186,3729,122,65535,-1,5459
,,,,,,,,IV-a,Treasure,8,1,3,,,,2058,343,1.3,-24,199,34,67,3014,236,109,-290,
,,,,,,,,IV-b,Urea,9,6,7,,,,120,120,0.3,-8,62,25,15,3892,167,3495,-540,
,,,,,,,,IV-c,Opalescent,8,4,1,,,,207,83,,-14,60,27,16,2785,160,0,-1440,
,,,,,,,,IV-d,Yttric,,,5,,,,645,129,1.1,29,145,37,53,3355,165,239,-290,
,,,,,,,,V,Organic,,3,2,,,,144,144,1.6,4,105,79,82,2855,283,111,,6129
,,,,,,,,V-a,Lanthanide,,6,,,,,2215,443,0.8,-29,157,26,40,2865,230,78,-140,
,,,,,,,,V-b,Alkali,,2,4,,,,363,121,0.7,-7,102,36,36,3108,172,229,-290,
,,,,,,,,VI,Gas Giant,10,3,8,,,,0,0,1.9,30,21,463,97,3235,140,65535,-1,7655
,,,,,,,,VI-a,Lanthanide,8,6,2,,,,1405,281,0.8,-19,143,28,40,2561,173,87,-140,
,,,,,,,,VI-b,Oolite,,3,6,,,,1889,358,0.7,8,147,25,36,3450,260,3044,-540,
Volantis,Delta,097.7,195.3,092.3,yellow,dwarf,Ilwrath,I,Vinylogous,2,2,1,1,,,118,46,1.6,18,104,75,78,-5,195,0,,449
,,,,,,,,II,Hydrocarbon,4,4,,,,,172,142,2.2,-10,105,106,111,-137,224,,-740,1724
,,,,,,,,III,Gas Giant,8,3,8,,,,0,0,3.0,45,21,1484,311,-159,101,65535,-1,2454
,,,,,,,,III-a,Auric,2,2,2,,,,840,140,1.0,-29,147,33,48,,203,11,160,
,,,,,,,,IV,Radioactive,,,1,,,,1248,156,1.1,11,210,26,54,-175,259,0,-940,3265
Cerenkov,Alpha,422.1,198.6,252.6,blue,,VUX,I,Redux,5,,2,,5,136,245,114,1.9,12,102,96,97,39,251,13,0,1085
,,,,,,,,II,Gas Giant,8,3,8,,1,0,0,0,2.1,-4,21,497,104,-62,85,65535,-1,1984
,,,,,,,,II-a,Carbide,3,,1,,,,94,94,0.7,-13,98,35,34,,29332,0,-740,
,,,,,,,,II-b,Auric,,,2,,,,726,121,0.9,6,150,29,43,,291,14,360,
,,,,,,,,II-c,Copper,2,1,,,,,447,149,1.0,-1,153,32,48,,233,15,460,
,,,,,,,,II-d,Selenic,1,,1,,,,153,51,0.4,-12,60,31,18,,298,0,-740,
,,,,,,,,III,Magnetic,5,5,,,,,312,104,2.4,-25,149,82,122,-96,158,,,2820
,,,,,,,,IV,Urea,7,7,3,,,,48,48,0.4,-27,59,35,20,-118,171,92,560,3703
,,,,,,,,V,Radioactive,3,3,1,,,,824,103,1.0,-17,203,26,52,-131,190,0,-740,4394
,,,,,,,,VI,Treasure,2,2,,,,,528,88,1.5,26,209,37,77,-143,297,,,5180
,,,,,,,,VII,Gas Giant,8,3,8,,,,0,0,3.0,14,21,1300,273,-156,154,65535,-1,6382
,,,,,,,,VII-a,Halide,2,2,1,,,,344,97,0.4,-4,62,33,20,,12076,0,-940,
,,,,,,,,VII-b,Quasi-Degenerate,5,5,,,,,650,26,0.8,4,151,28,42,,12978,,,
,,,,,,,,VII-c,Ultramarine,2,2,2,,,,417,105,0.2,-13,34,35,11,,201,97,360,
,,,,,,,,VII-d,Halide,1,1,1,,,,178,89,0.3,-8,63,27,17,,199,0,-940,
,,,,,,,,VIII,Gas Giant,8,,8,,,,0,0,3.0,-16,20,1006,201,-159,121,65535,-1,6786
,,,,,,,,VIII-a,Carbide,2,2,1,,,,120,120,0.7,1,98,36,35,,270,0,-940,
,,,,,,,,VIII-b,Acid,,,,,,,207,207,0.5,6,101,26,26,,209,,,
,,,,,,,,VIII-c,Green,5,5,2,,,,425,85,0.7,29,98,37,36,,165,100,210,
,,,,,,,,IX,Water,4,4,1,,2,19,111,37,1.7,-18,96,88,84,-168,178,12,160,7900
,Beta,450.0,200.0,280.2,orange,,,I,Magnetic,7,7,,,1,0,144,48,2.6,-25,150,87,130,-133,53473,0,-740,717
,,,,,,,,II,Pellucid,1,1,,,,,0,0,0.4,-11,63,34,21,-187,272,,-940,1903
,,,,,,,,III,Magma,8,8,,,,,90,30,2.9,,153,95,145,-215,270,,,4207
,,,,,,,,IV,Chondrite,7,7,,,,,79,79,0.5,1,102,26,26,-220,57723,,,4907
,,,,,,,,V,Gas Giant,8,1,8,,,,0,0,1.4,17,21,342,71,-223,119,65535,-1,5511
,,,,,,,,V-a,Carbide,3,3,1,,,,53,53,0.8,-2,105,37,38,,232,0,-940,
,,,,,,,,VI,Magnetic,8,8,,,,,162,54,3.0,-1,152,102,155,-225,164,,,6132
,,,,,,,,VI-a,Acid,4,4,,,,,186,186,0.6,5,98,33,32,,281,,,
,,,,,,,,VII,Iodine,6,6,,,,,148,61,1.3,30,61,104,63,-228,211,13,160,6767
,,,,,,,,VII-a,Copper,3,3,,,2,10,180,60,1.1,15,155,36,55,,182,11,,
,,,,,,,,VIII,Ultramarine,,,2,,1,0,81,23,0.2,13,34,33,11,-230,299,83,360,7571
Sagittarii,Alpha,683.3,,511.0,blue,,Mycon,I,Radioactive,6,,4,6,,,248,31,1.0,-12,201,25,50,400,271,96,260,438
,,,,,,,,II,Alkali,5,5,2,1,2,64,129,43,0.6,-8,96,33,31,-68,168,11,360,2103
,,,,,,,,III,Telluric,3,2,3,,1,0,315,73,2.1,2,101,105,106,-134,158,80,560,4538
,,,,,,,,IV,Auric,2,1,2,,,,1206,201,1.1,-10,154,36,55,-142,215,13,360,5156
,,,,,,,,V,Metal,5,2,,,5,40,1284,317,0.9,-14,156,28,43,-151,256,78,560,5869
,,,,,,,,VI,Ultramarine,2,,,,1,0,235,55,0.2,-22,32,,8,-168,193,90,360,7888
Aurigae,Gamma,816.3,200.9,643.5,white,,None,I,Treasure,6,,4,6,,,870,145,1.1,-12,195,29,56,399,252,112,110,592
,,,,,,,,II,Gas Giant,8,,8,1,,,0,0,3.0,-26,20,820,164,47,99,65535,-1,2262
,,,,,,,,II-a,Lanthanide,6,6,2,,,85,940,188,0.9,-5,155,29,44,-10,242,13,560,
,,,,,,,,II-b,Treasure,3,3,,,,0,828,138,1.1,7,205,26,53,-12,277,14,,
,,,,,,,,II-c,,6,,,,6,21,762,127,,8,201,28,56,-14,56921,10,,
,,,,,,,,III,Gas Giant,8,2,8,,1,0,0,0,1.8,20,21,438,91,-68,129,65535,-1,3033
,,,,,,,,III-a,Opalescent,5,5,1,,,,307,88,0.4,9,63,36,22,,275,0,-740,
,,,,,,,,III-b,Radioactive,1,1,,,,,1184,148,1.4,13,204,34,69,,163,,,
,,,,,,,,III-c,Lanthanide,5,5,,,,,840,168,0.8,6,154,27,41,,205,,,
,,,,,,,,III-d,Cyanic,7,3,,,7,35,56,56,0.2,30,34,29,9,,202,,,
,,,,,,,,IV,Organic,6,6,,,1,0,41,41,2.1,11,98,106,103,-92,177,,,3893
,,,,,,,,V,Selenic,1,1,,,,,117,39,0.4,16,61,33,20,-114,23327,,,5046
,,,,,,,,VI,Urea,7,7,2,,,,0,0,,,63,34,21,-129,287,95,560,6079
,,,,,,,,VII,Auric,1,1,1,,,,1398,233,0.8,23,146,27,39,-140,16841,13,360,7157
,Beta,808.0,201.1,635.2,orange,,,I,Halide,2,2,,,,,478,125,0.3,-21,61,26,15,-178,215,0,-940,1552
,,,,,,,,II,Carbide,,,,,,,114,114,0.7,5,105,33,34,-213,222,,,3868
,,,,,,,,III,Cimmerian,3,3,,,,,63,63,1.0,27,147,,48,-221,233,,,5129
,,,,,,,,IV,Gas Giant,8,1,8,,,,0,0,1.3,4,20,319,63,-225,131,65535,-1,6089
,,,,,,,,IV-a,Noble,2,2,1,,,,297,87,0.2,34,33,27,8,,279,0,-940,
Scorpii,Delta,603.6,203.5,432.3,blue,,Mycon,I,Green,4,4,3,,2,61,275,55,0.6,-11,98,30,29,-56,155,89,560,1880
,,,,,,,,II,Primordial,8,8,2,,1,56,291,175,1.8,5,105,87,91,-149,287,75,,5751
,,,,,,,,II-a,Metal,3,3,,,,0,1069,258,1.1,-6,149,36,53,,166,111,410,
,,,,,,,,III,Selenic,2,2,1,,,,42,14,0.4,4,61,32,19,-163,181,0,-940,7306
,Gamma,647.9,206.2,476.6,green,,,I,Shattered,8,8,,3,,,1707,314,2.2,24,102,110,112,100,242,,-590,409
,,,,,,,,I-a,Lanthanide,7,7,4,6,,,510,102,0.9,5,147,31,45,374,212,97,260,
,,,,,,,,II,Copper,3,3,2,1,,,399,133,0.8,-33,152,28,42,-81,167,14,360,1549
,,,,,,,,III,Super-Dense,5,5,,,,,144,48,1.4,42,192,37,71,-174,271,98,,5739
,,,,,,,,IV,Gas Giant,8,1,8,,,,0,0,3.0,-2,21,1104,231,-178,80,65535,-1,6201
,,,,,,,,IV-a,Alkali,4,4,1,,,,231,77,0.7,-19,104,33,34,,298,12,160,
,,,,,,,,V,Carbide,3,3,,,,,93,93,0.5,9,99,26,25,-185,154,0,-940,7314
Rigel,Prime,210.4,208.3,072.4,orange,,None,I,Purple,2,2,,,,,192,64,0.3,-33,62,28,17,-115,191,,-740,568
,,,,,,,,II,Gas Giant,8,1,8,,,,0,0,3.0,-1,20,802,160,-169,80,65535,-1,1301
,,,,,,,,II-a,Infrared,3,2,3,,,,,,0.7,12,105,32,33,,191,110,210,
,,,,,,,,II-b,Dust,5,5,2,,,,6,2,0.4,3,63,30,18,,159,11,160,
,,,,,,,,II-c,,2,2,,,,,30,10,0.3,-27,58,29,16,,174,14,,
,,,,,,,,II-d,Noble,3,3,1,,,,172,55,0.2,1,34,37,12,,165,0,-940,
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,2.2,-16,20,544,108,-230,124,65535,-1,7454
Aurigae,Alpha,806.2,,634.1,white,,,I,Redux,7,3,4,7,,,156,78,1.7,37,105,80,84,640,188,112,-290,306
,,,,,,,,II,Ultraviolet,,,7,3,,,816,137,2.5,8,144,88,126,102,46395,2554,310,1580
,,,,,,,,II-a,Cyanic,3,,2,1,2,10,0,0,0.2,15,32,36,11,39,182,11,760,
,,,,,,,,III,Organic,6,6,,,4,70,101,101,2.2,0,105,105,110,-8,176,10,560,2145
,,,,,,,,IV,Lanthanide,8,8,1,,1,0,515,103,1.1,-1,150,37,55,-96,204,0,-740,4062
,,,,,,,,V,Ultraviolet,5,5,3,,,,640,185,2.3,-19,152,76,115,-108,281,85,560,4651
,,,,,,,,V-a,Yttric,4,4,2,,2,24,648,164,0.8,13,154,26,40,,282,10,360,
,,,,,,,,VI,Gas Giant,8,3,8,,1,0,0,0,1.4,-16,20,341,68,-131,103,65535,-1,6259
,,,,,,,,VI-a,Radioactive,2,2,1,,,,704,88,1.0,26,194,25,48,,287,0,-740,
,,,,,,,,VI-b,Treasure,1,1,,,,,1092,182,1.4,-7,197,36,70,,172,,,
,,,,,,,,VII,,,,,,,,558,93,,-10,196,35,68,-143,253,,,7485
Olber,,027.0,218.7,165.5,blue,,Ilwrath,I,Radioactive,5,2,4,5,,,952,119,1.3,-14,200,33,66,339,186,96,260,591
,,,,,,,,II,Urea,8,6,8,3,,,24,24,0.4,-10,61,,20,121,211,3229,310,993
,,,,,,,,III,Plutonic,5,5,3,1,5,81,1465,326,2.9,8,155,94,145,-52,271,109,410,1825
,,,,,,,,III-a,Radioactive,3,3,1,,1,0,696,87,1.0,-23,196,25,49,,217,0,-740,
,,,,,,,,IV,Carbide,2,2,,,,,116,116,0.5,-19,96,29,27,-107,159,,,3191
,,,,,,,,V,Copper,,,2,,,,351,117,1.1,3,145,37,53,-120,204,12,360,3775
,,,,,,,,VI,Gas Giant,8,,8,,,,0,0,3.0,2,20,979,195,-132,146,65535,-1,4455
,,,,,,,,VI-a,Copper,5,3,2,,5,44,441,147,1.0,-2,155,31,48,,203,10,360,
,,,,,,,,VI-b,Auric,3,,,,1,0,960,160,0.9,-18,152,30,45,,245,13,,
,,,,,,,,VI-c,Copper,2,2,,,,,528,176,1.0,-13,148,35,51,,201,14,,
,,,,,,,,VI-d,Oolite,4,4,3,,2,40,573,113,,-26,157,32,50,,234,99,560,
,,,,,,,,VII,Ultraviolet,7,6,,,6,76,598,178,2.9,-11,152,97,147,-146,286,96,,5413
,,,,,,,,VIII,Primordial,8,8,2,,1,0,236,162,1.6,9,96,84,80,-160,150,103,210,6900
Scorpii,Zeta,650.0,220.8,480.8,,,Mycon,I,Magnetic,6,6,1,,,,446,134,2.6,10,149,89,132,17,205,0,-340,1055
,,,,,,,,I-a,Green,7,3,7,3,,,425,85,0.5,6,102,27,27,131,,3652,310,
,,,,,,,,II,Noble,2,2,1,1,,,136,37,0.2,5,33,,8,-70,161,0,-740,2140
,,,,,,,,III,Telluric,3,,3,,2,38,411,99,2.0,-2,105,95,99,-106,284,94,560,3168
,,,,,,,,IV,Gas Giant,8,1,8,,1,0,0,0,3.0,-19,21,1021,214,-117,90,65535,-1,3602
,,,,,,,,V,Lanthanide,7,7,1,,,,580,116,0.9,5,148,31,45,-136,256,0,-740,4721
,,,,,,,,VI,Halide,1,1,,,,,254,88,0.4,9,59,33,19,-142,238,,,5176
,,,,,,,,VII,Cyanic,3,3,,,,,109,109,0.2,,32,31,9,-156,294,,-940,6425
,,,,,,,,VIII,Green,5,5,2,,5,82,145,29,0.6,7,104,30,31,-162,217,98,360,7161
,,,,,,,,IX,Fluorescent,4,4,1,,1,0,967,179,3.0,-28,154,108,166,-167,250,0,-940,7783
,,,,,,,,IX-a,Oolite,,,2,,3,189,661,123,0.8,5,149,26,38,,245,90,360,
,Epsilon,629.1,,460.1,green,,,I,Shattered,8,8,1,3,1,0,1311,212,1.6,16,105,75,78,100,191,0,0,409
,,,,,,,,I-a,Azure,7,3,6,6,,,186,62,0.4,1,58,36,20,504,270,204,-290,
,,,,,,,,I-b,Quasi-Degenerate,5,5,1,3,,,0,0,0.7,15,144,25,36,100,34652,0,-590,
,,,,,,,,II,Azure,4,4,2,1,,,72,24,0.4,-1,63,29,18,-109,233,11,360,2094
,,,,,,,,III,Telluric,,3,3,,,,60,10,1.9,15,105,90,94,-125,258,98,560,2576
,,,,,,,,IV,Alkali,,4,2,,,,57,19,0.7,-21,101,35,35,-172,186,13,160,5493
,,,,,,,,V,Xenolithic,3,3,1,,,,45,15,1.8,14,98,91,89,-187,262,11,,7545
Olber,Beta,012.5,222.9,180.3,blue,,Ilwrath,I,Acid,,,,,,,152,152,0.6,1,,32,31,-58,243,0,-740,1922
,Gamma,031.2,225.0,164.7,,,,,Copper,2,1,2,,,,582,194,1.1,15,157,36,56,-88,215,14,360,2588
,,,,,,,,II,Organic,6,6,1,,,,118,118,2.1,0,104,103,107,-147,168,0,-740,5563
,,,,,,,,III,Primordial,8,8,2,,,,395,241,1.6,16,105,78,81,-164,229,89,360,7376
Mira,,388.4,226.2,228.1,yellow,,VUX,I,Alkali,4,4,,,,,81,27,0.6,5,,27,28,-195,263,10,160,5124
,,,,,,,,II,Water,5,5,1,,,,228,61,1.5,23,102,76,77,-210,275,14,,7809
Procyon,Prime,074.2,226.8,129.9,orange,,Ilwrath,I,Halide,3,3,,,,,182,49,0.4,-26,60,32,19,-202,263,0,-940,2782
,,,,,,,,II,Sapphire,,,,,,,350,14,1.3,-8,58,109,63,-211,267,,,3607
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,3.0,-27,20,1160,232,-222,106,65535,-1,5319
,,,,,,,,III-a,Alkali,5,,2,,5,168,162,54,0.7,-19,105,34,35,,268,13,160,
,,,,,,,,III-b,Dust,,4,,,,44,114,38,0.3,18,58,28,16,,244,12,,
,,,,,,,,IV,Azure,,5,1,,1,0,84,28,0.4,-17,62,30,18,-226,275,15,260,6188
,,,,,,,,V,Copper,3,3,,,,,81,27,0.8,12,156,25,39,-231,160,13,160,7806
Saurus,Alpha,230.6,228.5,100.2,,,None,I,Infrared,4,,3,,,,189,63,0.5,-12,102,,25,-172,266,107,210,1392
,,,,,,,,II,Super-Dense,8,8,,,6,52,84,28,1.1,-28,193,28,54,-195,175,89,360,2308
,,,,,,,,III,Noble,5,3,1,,5,59,275,89,0.2,19,34,32,10,-226,205,0,-940,6228
,Beta,240.2,230.9,107.7,red,,,I,Hydrocarbon,2,2,,,1,0,133,121,1.8,16,97,95,92,-245,234,,,4252
Brahe,,639.5,231.2,472.2,green,,Mycon,,Shattered,8,8,,3,,,1311,212,1.9,-11,104,94,97,100,229,,0,409
,,,,,,,,II,Selenic,2,2,,1,,,126,42,0.3,1,59,29,17,-142,15591,,-740,3259
,,,,,,,,III,Chlorine,5,5,,,,,204,146,1.7,-5,105,80,84,-168,235,,-940,5070
,,,,,,,,III-a,Lanthanide,,,,,,,775,155,1.1,25,153,36,55,,150,,,
,,,,,,,,III-b,Metal,3,2,3,,,,709,165,0.7,6,143,26,37,,209,92,360,
,,,,,,,,IV,Purple,2,,1,,,,111,37,0.3,5,63,28,17,-187,186,0,-940,7637
Persei,Iota,887.5,,717.4,,,Druuge,I,Pellucid,4,3,3,2,,,0,0,,45,60,,16,55,275,11,510,620
,,,,,,,,II,Selenic,1,1,1,1,,,168,56,0.4,-2,62,31,19,-144,282,0,-740,3360
,,,,,,,,III,Redux,5,5,,,,,296,136,2.2,-6,100,108,108,-174,209,,-940,5698
,,,,,,,,III-a,Alkali,2,2,,,,,255,85,0.6,-10,99,33,32,,,10,160,
,,,,,,,,IV,Cyanic,,,,,,,70,70,0.2,14,33,32,10,-179,46895,0,-940,6355
,,,,,,,,V,Copper,3,3,,,,,366,122,1.0,-5,156,33,51,-187,276,12,160,7631
Mira,Alpha,355.1,232.0,199.8,red,,Orz,I,Telluric,7,4,4,,7,82,309,69,1.9,41,98,96,94,-175,180,91,360,367
,,,,,,,,II,Super-Dense,8,8,3,,1,0,51,17,1.1,-9,195,29,56,-225,225,80,,1537
Brahe,,620.8,233.3,454.2,orange,,Mycon,I,Noble,1,1,1,,,,200,62,0.2,12,33,37,12,-172,274,0,-940,1393
,,,,,,,,II,Urea,6,6,3,,,74,30,30,0.4,21,63,32,20,-191,196,105,210,2086
,,,,,,,,III,Super-Dense,,,,,,0,207,69,1.5,-7,207,36,74,-210,202,110,,3495
,,,,,,,,IV,Gas Giant,8,2,8,,,,0,0,3.0,-9,20,1139,227,-216,83,65535,-1,4223
,,,,,,,,IV-a,Dust,4,4,2,,,,57,19,0.5,2,63,37,23,,173,14,160,
,,,,,,,,V,Chlorine,8,8,1,,,,174,107,1.5,-2,96,77,73,-223,265,0,-940,5512
,,,,,,,,V-a,Cimmerian,3,3,,,,,130,130,1.1,27,148,37,54,,211,,,
,,,,,,,,VI,Urea,5,5,2,,5,52,33,33,0.3,-3,63,25,15,-231,161,93,360,7798
Mira,Delta,335.4,235.4,183.9,,,None,I,Gas Giant,8,2,8,,1,0,0,0,3.0,-2,21,1479,310,-137,98,65535,-1,772
,,,,,,,,I-a,Azure,5,5,3,,2,120,147,49,0.4,-5,61,32,19,,182,15,460,
,,,,,,,,I-b,Carbide,4,4,1,,1,0,137,137,0.7,-4,105,33,34,,253,0,-740,
,,,,,,,,I-c,Purple,5,5,,,,,147,49,0.3,18,61,29,17,,34131,,,
,,,,,,,,I-d,Green,,,4,,,26,515,103,0.7,1,101,37,37,,165,82,560,
,,,,,,,,II,Gas Giant,8,2,8,,,0,0,0,3.0,16,20,1132,226,-176,155,65535,-1,1500
,,,,,,,,II-a,Selenic,2,,1,,,,201,67,0.3,3,59,30,17,,244,0,-940,
,,,,,,,,II-b,Urea,5,5,3,,2,8,18,18,0.4,-10,62,31,19,,154,111,210,
,,,,,,,,III,,7,,,,7,36,35,35,,-8,,,,-191,208,96,360,2089
,,,,,,,,IV,Chondrite,,7,1,,1,0,61,61,0.6,-30,98,33,32,-212,223,0,-940,3802
,,,,,,,,V,Maroon,2,2,2,,,,134,70,1.3,15,60,110,66,-221,171,15,260,5158
Almagest,Prime,990.9,235.9,820.7,blue,,Druuge,I,Opalescent,4,4,1,3,,,178,67,0.3,3,61,26,15,142,184,0,-590,521
,,,,,,,,II,Yttric,3,3,2,1,2,62,958,244,1.0,-7,146,34,49,-97,173,15,460,2840
,,,,,,,,III,Quasi-Degenerate,4,4,1,,1,0,725,29,0.8,2,148,26,38,-145,51329,0,-740,5371
,,,,,,,,IV,Cyanic,1,1,,,,,98,98,0.2,-2,33,32,10,-161,187,,-940,7004
Saurus,Gamma,229.8,238.5,108.2,red,,None,I,Pellucid,2,2,,,,,100,4,0.4,1,63,36,22,,250,,,281
